Short_Name,Lat,Long
SABIN,41.906816,-87.68305
WOODSON,41.814499,-87.608419
CLAREMONT,41.777511,-87.681061
BLACK,41.729692,-87.576643
DURKIN PARK,41.738844,-87.729955
CALMECA,41.824377,-87.711654
NORTH RIVER,41.961721,-87.707151
COURTENAY,41.962308,-87.663853
SPRY HS,41.847762,-87.698946
EVERS,41.715665,-87.639305
DISNEY,41.956816,-87.646083
DUBOIS,41.653733,-87.61432
WACKER,41.716193,-87.648044
DEPRIEST,41.877979,-87.766298
HUGHES L,41.705342,-87.629869
JACKSON M,41.734125,-87.646767
WILLIAMS HS,41.806118,-87.62503
BRONZEVILLE HS,41.805204,-87.625004
SOCIAL JUSTICE HS,41.833507,-87.735299
INFINITY HS,41.836169,-87.735278
MULTICULTURAL HS,41.835282,-87.735283
PEACE AND EDUCATION HS,41.803515,-87.667378
ORR HS,41.894449,-87.726166
RICKOVER MILITARY HS,41.989021,-87.665789
LINDBLOM HS,41.782041,-87.671662
WORLD LANGUAGE HS,41.834397,-87.735292
UPLIFT HS,41.965547,-87.652473
TARKINGTON,41.764407,-87.706445
DEVRY HS,41.941388,-87.690761
SUDER,41.883215,-87.677636
COLLINS HS,41.864149,-87.702042
AUSTIN POLY HS,41.885123,-87.761909
MARINE MILITARY HS,41.879123,-87.688314
FRAZIER PROSPECTIVE,41.86698,-87.727244
THOMAS,41.827775,-87.677542
TEAM HS,41.781485,-87.633019
AIR FORCE HS,41.828145,-87.632757
VOISE HS,41.885993,-87.761916
LASALLE II,41.902914,-87.673696
DAVIS M,41.771221,-87.66653
EDISON PARK,41.994238,-87.813771
ALCOTT HS,41.935795,-87.680562
OGDEN HS,41.893548,-87.659405
SOUTH SHORE,41.767755,-87.590396
HERNANDEZ,41.793479,-87.71137
PRIETO,41.921318,-87.765781
SKINNER NORTH,41.905109,-87.644841
CAMRAS,41.934931,-87.770127
LORCA,41.940026,-87.724783
WEST RIDGE,42.002959,-87.705917
SOLORIO HS,41.795201,-87.711059
AZUELA,41.771079,-87.73992
SOUTH SHORE INTL HS,41.758792,-87.576353
STEM,41.868576,-87.664969
BANNER WEST HS,41.895678,-87.754064
PATHWAYS - ASHBURN HS,41.735239,-87.70406
GOODE HS,41.75375,-87.707345
SHIELDS MIDDLE,41.806491,-87.68978
CRANE MEDICAL HS,41.876947,-87.683301
BACK OF THE YARDS HS,41.808413,-87.677541
DISNEY II HS,41.952488,-87.721364
CAMELOT - EXCEL ENGLEWOOD HS,41.763896,-87.649124
MAGIC JOHNSON - N LAWNDALE HS,41.866478,-87.706604
MAGIC JOHNSON - ROSELAND HS,41.69516,-87.642697
PATHWAYS - AVONDALE HS,41.939433,-87.705206
OMBUDSMAN - NORTHWEST HS,42.017171,-87.806682
OMBUDSMAN - SOUTH HS,41.783027,-87.683635
OMBUDSMAN - WEST HS,41.874673,-87.687842
PROLOGUE - WINNIE MANDELA HS,41.752016,-87.575883
MAGIC JOHNSON - ENGLEWOOD HS,41.768729,-87.646284
MAGIC JOHNSON - HUMBOLDT PK HS,41.902925,-87.687889
GREAT LAKES,41.742671,-87.559907
CAMELOT SAFE ES,41.753117,-87.550513
ALCOTT ES,41.92985,-87.646413
SPRY ES,41.847747,-87.700184
OGDEN ES,41.899976,-87.629297
DISNEY II ES,41.950461,-87.730678
CAMELOT SAFE HS,41.753115,-87.551804
CAMELOT SAFE - GARFIELD HS,41.884503,-87.739485
MAGIC JOHNSON - BRAINERD HS,41.731492,-87.66314
CAMELOT SAFE - GARFIELD ES,41.883606,-87.739484
ASPIRA - BUSINESS & FINANCE HS,41.935726,-87.718204
MOVING EVEREST,41.888259,-87.755281
